time,value
2024-02-10T17:40:44.861019434Z,114
2024-02-10T17:40:44.8627012Z,113
2024-02-10T17:40:49.33885437Z,114
2024-02-10T17:40:49.340173162Z,113
2024-02-10T17:40:51.47154852Z,114
2024-02-10T17:40:51.473453867Z,113
2024-02-10T17:40:52.074052234Z,114
2024-02-10T17:40:54.047750108Z,120
2024-02-10T17:40:54.049405448Z,114
2024-02-10T17:40:54.050953697Z,113
2024-02-10T17:40:55.589122965Z,114
2024-02-10T17:40:55.590402181Z,113
2024-02-10T17:40:56.709073394Z,114
2024-02-10T17:40:56.710562778Z,113
2024-02-10T17:40:58.610906769Z,114
2024-02-10T17:40:58.612191867Z,113
2024-02-10T17:40:58.613375423Z,114
2024-02-10T17:41:00.191052868Z,113
2024-02-10T17:41:00.192441858Z,114
2024-02-10T17:41:00.893120111Z,113
2024-02-10T17:41:02.889050172Z,120
2024-02-10T17:41:02.890435796Z,114
2024-02-10T17:41:02.892067121Z,113
2024-02-10T17:41:04.41104083Z,114
2024-02-10T17:41:04.4124102Z,112
2024-02-10T17:41:06.881155253Z,114
2024-02-10T17:41:06.882712936Z,122
2024-02-10T17:41:06.884287677Z,114
2024-02-10T17:41:07.699062237Z,110
2024-02-10T17:41:09.889857969Z,122
2024-02-10T17:41:09.8913489Z,113
2024-02-10T17:41:09.892616666Z,109
2024-02-10T17:41:11.374079713Z,112
2024-02-10T17:41:11.375493871Z,110
2024-02-10T17:41:12.021481988Z,114
2024-02-10T17:41:16.436310404Z,115
2024-02-10T17:41:18.521035277Z,122
2024-02-10T17:41:18.522888249Z,117
2024-02-10T17:41:18.524375183Z,116
2024-02-10T17:41:20.071255256Z,115
2024-02-10T17:41:20.072661452Z,116
2024-02-10T17:41:21.157217185Z,117
2024-02-10T17:41:21.15914692Z,118
2024-02-10T17:41:23.220967321Z,117
2024-02-10T17:41:23.222598158Z,120
2024-02-10T17:41:23.224324427Z,122
2024-02-10T17:41:24.853989365Z,120
2024-02-10T17:41:24.855507995Z,122
2024-02-10T17:41:25.451021076Z,114
2024-02-10T17:41:27.401039844Z,126
2024-02-10T17:41:27.402711587Z,130
2024-02-10T17:41:27.404286777Z,117
2024-02-10T17:41:28.931042863Z,116
2024-02-10T17:41:28.932438249Z,124
2024-02-10T17:41:29.560927895Z,116
2024-02-10T17:41:32.061055679Z,124
2024-02-10T17:41:32.062955062Z,116
2024-02-10T17:41:32.064587855Z,117
2024-02-10T17:41:35.90198474Z,120
2024-02-10T17:41:35.903262865Z,117
2024-02-10T17:41:36.509004682Z,120
2024-02-10T17:41:38.401251119Z,124
2024-02-10T17:41:38.402837247Z,123
2024-02-10T17:41:38.404345294Z,122
2024-02-10T17:41:40.00167412Z,123
2024-02-10T17:41:40.003289031Z,122
2024-02-10T17:41:42.681168675Z,123
2024-02-10T17:41:42.682593743Z,122
2024-02-10T17:41:42.683849161Z,123
2024-02-10T17:41:43.270950325Z,122
2024-02-10T17:41:45.141650844Z,128
2024-02-10T17:41:45.143145349Z,123
2024-02-10T17:41:46.981207071Z,122
2024-02-10T17:41:46.982864343Z,123
2024-02-10T17:41:46.984292031Z,122
2024-02-10T17:41:47.809043909Z,123
2024-02-10T17:41:49.739046866Z,122
2024-02-10T17:41:49.740393767Z,123
2024-02-10T17:41:51.890697302Z,122
2024-02-10T17:41:51.892057485Z,123
2024-02-10T17:41:53.840971315Z,122
2024-02-10T17:41:53.842343116Z,123
2024-02-10T17:41:56.401006589Z,122
2024-02-10T17:41:56.402503865Z,123
2024-02-10T17:41:57.92935226Z,124
2024-02-10T17:41:57.930948452Z,123
2024-02-10T17:42:00.51398384Z,124
2024-02-10T17:42:00.51553349Z,130
2024-02-10T17:42:00.517136842Z,124
2024-02-10T17:42:01.158925647Z,123
2024-02-10T17:42:03.144370474Z,128
2024-02-10T17:42:03.145665923Z,123
2024-02-10T17:42:03.147216016Z,124
