time,value
2024-02-10T09:16:53.778852072Z,106
2024-02-10T09:16:54.830262353Z,108
2024-02-10T09:16:55.458509553Z,106
2024-02-10T09:16:56.108855326Z,108
2024-02-10T09:16:56.468980609Z,106
2024-02-10T09:17:00.274897434Z,108
2024-02-10T09:17:00.276254346Z,106
2024-02-10T09:17:00.631281621Z,108
2024-02-10T09:17:07.629805168Z,106
2024-02-10T09:17:07.631302899Z,108
2024-02-10T09:17:08.359599095Z,106
2024-02-10T09:17:08.362460457Z,108
2024-02-10T09:17:08.878087731Z,106
2024-02-10T09:17:09.377614096Z,108
2024-02-10T09:17:10.302378144Z,106
2024-02-10T09:17:11.471928643Z,108
2024-02-10T09:17:12.129131067Z,106
2024-02-10T09:17:13.71446184Z,108
2024-02-10T09:17:13.71649783Z,106
2024-02-10T09:17:13.718172971Z,108
2024-02-10T09:17:14.453420353Z,106
2024-02-10T09:17:21.474995938Z,108
2024-02-10T09:17:21.476649137Z,106
2024-02-10T09:17:24.212025508Z,108
2024-02-10T09:17:24.213302875Z,106
2024-02-10T09:17:24.214644729Z,108
2024-02-10T09:17:24.739097829Z,114
2024-02-10T09:17:25.086896246Z,106
2024-02-10T09:17:25.958996111Z,108
2024-02-10T09:17:26.898013089Z,106
2024-02-10T09:17:33.118477283Z,108
2024-02-10T09:17:33.120013288Z,106
2024-02-10T09:17:35.32692743Z,108
2024-02-10T09:17:35.328242669Z,106
2024-02-10T09:17:35.329400839Z,108
2024-02-10T09:17:35.778229369Z,106
2024-02-10T09:17:36.817850576Z,113
2024-02-10T09:17:36.81922115Z,106
2024-02-10T09:17:39.311263983Z,108
2024-02-10T09:17:39.312473188Z,113
2024-02-10T09:17:39.313727231Z,106
2024-02-10T09:17:39.661374256Z,108
2024-02-10T09:17:41.861067413Z,106
2024-02-10T09:17:41.862630448Z,108
2024-02-10T09:19:24.806444479Z,106
2024-02-10T09:19:25.531592318Z,106
2024-02-10T09:19:28.71027498Z,108
2024-02-10T09:19:29.757382342Z,106
2024-02-10T09:19:34.206404062Z,108
2024-02-10T09:19:34.207788065Z,106
2024-02-10T09:19:40.192080091Z,108
2024-02-10T09:19:40.193756784Z,106
2024-02-10T09:19:40.195460842Z,108
2024-02-10T09:19:40.19684475Z,113
2024-02-10T09:19:40.198253952Z,106
2024-02-10T09:19:41.00169297Z,108
2024-02-10T09:19:42.812049203Z,106
2024-02-10T09:19:42.813385677Z,108
2024-02-10T09:19:43.492097651Z,106
2024-02-10T09:19:43.887026779Z,108
2024-02-10T09:19:44.547061063Z,106
2024-02-10T09:19:47.856663724Z,108
2024-02-10T09:19:47.858134647Z,106
2024-02-10T09:19:49.396318658Z,108
2024-02-10T09:19:50.27636143Z,106
2024-02-10T09:19:51.832304756Z,108
2024-02-10T09:19:52.527105205Z,106
2024-02-10T09:19:52.882068379Z,108
