time,value
2024-02-10T17:41:51.8892972Z,56
2024-02-10T17:41:57.92935226Z,56
2024-02-10T17:42:04.680805512Z,57
2024-02-10T17:42:19.634158367Z,56
2024-02-10T17:42:32.724218104Z,55
2024-02-10T17:42:47.383357769Z,167.8000030517578
2024-02-10T17:42:49.410109788Z,55
2024-02-10T17:43:03.532453089Z,167.8000030517578
2024-02-10T17:43:05.54899712Z,55
2024-02-10T17:43:07.572931452Z,167.8000030517578
2024-02-10T17:43:09.542278397Z,55
2024-02-10T17:43:11.550967572Z,167.8000030517578
2024-02-10T17:43:13.73081466Z,55
2024-02-10T17:43:30.111054787Z,54
2024-02-10T17:44:13.723926033Z,54
2024-02-10T17:44:38.460982966Z,54
2024-02-10T17:45:07.861423333Z,54
2024-02-10T17:45:46.414073658Z,55
2024-02-10T17:45:49.238956682Z,156
2024-02-10T17:45:49.24058857Z,56
2024-02-10T17:45:52.498904726Z,57
2024-02-10T17:46:04.751940369Z,56
2024-02-10T17:46:14.892081395Z,156
2024-02-10T17:46:16.793069105Z,56
2024-02-10T17:46:19.43697283Z,55
2024-02-10T17:47:14.854087879Z,55
2024-02-10T17:47:28.174080412Z,56
2024-02-10T17:47:53.221027616Z,56
2024-02-10T17:48:26.364903976Z,57
2024-02-10T17:49:47.182106363Z,58
2024-02-10T17:51:11.805918261Z,157
2024-02-10T17:51:13.825113313Z,58
2024-02-10T17:51:18.148818314Z,157
2024-02-10T17:51:19.803412722Z,58
2024-02-10T17:51:30.983430183Z,157
2024-02-10T17:51:34.96924479Z,59
2024-02-10T17:51:53.39311393Z,58
2024-02-10T17:51:53.909305914Z,157
2024-02-10T17:51:58.021011019Z,58
2024-02-10T17:52:02.760987966Z,157
2024-02-10T17:52:03.986333102Z,58
2024-02-10T17:52:16.958987267Z,157
2024-02-10T17:52:22.250975474Z,58
2024-02-10T17:53:04.653715163Z,59
2024-02-10T17:53:49.605900782Z,60
2024-02-10T17:54:20.874150944Z,60
2024-02-10T17:54:34.021022695Z,60
2024-02-10T17:54:38.385934202Z,60
2024-02-10T17:54:58.575947199Z,60
2024-02-10T17:55:12.480953815Z,60
2024-02-10T17:55:29.473717935Z,158
2024-02-10T17:55:31.101145377Z,60
2024-02-10T17:55:37.234058918Z,60
2024-02-10T17:55:57.57913559Z,158
2024-02-10T17:56:01.120777688Z,61
2024-02-10T17:56:05.859794064Z,61
2024-02-10T17:56:24.931147943Z,61
2024-02-10T17:56:29.286179686Z,61
2024-02-10T17:57:12.454002896Z,61
2024-02-10T17:57:22.760964098Z,61
2024-02-10T17:58:19.518990982Z,61
2024-02-10T17:59:31.646894946Z,62
2024-02-10T18:00:04.534295128Z,62
2024-02-10T18:00:18.490949693Z,62
2024-02-10T18:00:22.662786664Z,62
2024-02-10T18:03:11.460215262Z,159
2024-02-10T18:03:13.610005023Z,62
2024-02-10T18:03:35.624638176Z,159
2024-02-10T18:03:37.699417545Z,62
2024-02-10T18:03:47.719240295Z,159
2024-02-10T18:03:50.264228139Z,62
2024-02-10T18:05:26.18049949Z,62
2024-02-10T18:05:30.640001963Z,62
2024-02-10T18:06:06.463506101Z,62
2024-02-10T18:06:13.449643828Z,62
2024-02-10T18:06:20.913173667Z,62
2024-02-10T18:06:27.65511978Z,62
2024-02-10T18:06:55.915119657Z,63
2024-02-10T18:07:31.770093093Z,63
2024-02-10T18:07:40.616753298Z,63
2024-02-10T18:07:47.276048174Z,63
2024-02-10T18:08:05.59014257Z,62
2024-02-10T18:08:10.830220045Z,159
2024-02-10T18:08:12.099875911Z,62
2024-02-10T18:08:14.895140431Z,159
2024-02-10T18:08:16.816745132Z,62
2024-02-10T18:08:20.139864976Z,159
2024-02-10T18:08:22.268144315Z,62
2024-02-10T18:08:24.200068003Z,159
2024-02-10T18:08:26.135176583Z,62
2024-02-10T18:08:28.13494033Z,159
2024-02-10T18:08:32.750090665Z,63
2024-02-10T18:08:37.023338898Z,63
2024-02-10T18:08:41.165117153Z,63
2024-02-10T18:09:05.155063433Z,63
2024-02-10T18:09:30.445107926Z,62
2024-02-10T18:09:45.19500953Z,62
2024-02-10T18:09:49.495019354Z,62
2024-02-10T18:10:17.180198133Z,62
2024-02-10T18:10:22.128002921Z,62
2024-02-10T18:11:01.025150607Z,159
2024-02-10T18:11:02.93820184Z,62
2024-02-10T18:11:09.735224934Z,159
2024-02-10T18:11:14.215589421Z,62
2024-02-10T18:11:25.240152284Z,159
2024-02-10T18:11:27.825100758Z,62
2024-02-10T18:11:39.139084976Z,159
2024-02-10T18:11:41.066238752Z,62
2024-02-10T18:11:50.993148263Z,159
2024-02-10T18:11:53.703443775Z,62
2024-02-10T18:12:45.833378562Z,159
2024-02-10T18:12:47.869828163Z,62
2024-02-10T18:12:52.248150339Z,63
2024-02-10T18:13:12.048095442Z,63
2024-02-10T18:13:13.578132263Z,62
2024-02-10T18:15:44.064439628Z,159
2024-02-10T18:15:46.357429455Z,62
2024-02-10T18:16:37.75949104Z,159
2024-02-10T18:16:39.424541288Z,62
2024-02-10T18:16:53.626374112Z,63
2024-02-10T18:17:18.838470069Z,63
2024-02-10T18:18:00.792818992Z,63
2024-02-10T18:18:23.257337693Z,62
2024-02-10T18:18:42.443359988Z,63
2024-02-10T18:19:05.327976523Z,63
2024-02-10T18:19:08.061073197Z,62
2024-02-10T18:20:47.842881382Z,63
2024-02-10T18:21:23.682929162Z,63
2024-02-10T18:21:26.082811412Z,62
2024-02-10T18:21:42.428240056Z,62
2024-02-10T18:22:24.917657676Z,159
2024-02-10T18:22:27.437979679Z,62
2024-02-10T18:23:30.49741569Z,63
2024-02-10T18:23:45.595102555Z,62
2024-02-10T18:23:48.471319003Z,63
2024-02-10T18:23:57.093177742Z,62
2024-02-10T18:24:42.425737231Z,62
2024-02-10T18:24:58.760352647Z,159
2024-02-10T18:25:00.795012833Z,62
2024-02-10T18:25:26.600002526Z,62
2024-02-10T18:25:28.58476784Z,159
2024-02-10T18:25:34.409965423Z,62
2024-02-10T18:27:28.217906807Z,63
2024-02-10T18:27:43.210934149Z,62
2024-02-10T18:27:45.318493274Z,63
2024-02-10T18:27:58.122995993Z,62
2024-02-10T18:29:17.067964269Z,62
2024-02-10T18:30:02.229109084Z,61
2024-02-10T18:30:22.365714257Z,62
2024-02-10T18:30:31.808014878Z,61
2024-02-10T18:30:48.227971827Z,62
2024-02-11T08:38:03.653745368Z,60
2024-02-11T08:38:04.885504945Z,158
2024-02-11T08:38:09.538809434Z,60
2024-02-11T08:38:16.853951592Z,158
