time,value
2024-02-10T09:16:53.778852072Z,146
2024-02-10T09:16:55.458509553Z,35
2024-02-10T09:17:00.274897434Z,35
2024-02-10T09:17:08.878087731Z,35
2024-02-10T09:19:25.531592318Z,157.8000030517578
2024-02-10T09:19:26.181535132Z,35
2024-02-10T09:19:49.396318658Z,35
2024-02-10T09:20:39.326520435Z,35
2024-02-10T09:20:43.831969067Z,36
2024-02-10T09:20:55.52312223Z,37
2024-02-10T09:20:57.14135253Z,38
2024-02-10T09:21:07.381666583Z,39
2024-02-10T09:21:07.386370061Z,41
2024-02-10T09:21:17.18639266Z,40
2024-02-10T09:21:18.376947912Z,39
2024-02-10T09:22:01.016359378Z,38
2024-02-10T09:22:14.705666605Z,147
2024-02-10T09:22:16.261520174Z,38
2024-02-10T09:22:42.226524253Z,39
2024-02-10T09:22:42.229054396Z,40
2024-02-10T09:22:52.356611002Z,40
2024-02-10T09:51:41.109054792Z,47
2024-02-10T09:51:45.885406561Z,47
2024-02-10T09:51:50.239573191Z,47
2024-02-10T09:52:09.204475805Z,47
2024-02-10T16:52:50.626017618Z,55
2024-02-10T16:52:56.886843614Z,55
2024-02-10T16:53:06.155893633Z,54
2024-02-10T16:53:32.581199493Z,155
2024-02-10T16:53:34.725204549Z,54
2024-02-10T16:53:43.470042673Z,155
2024-02-10T16:53:45.481127107Z,54
2024-02-10T16:54:08.495442548Z,155
2024-02-10T16:54:10.562088152Z,54
2024-02-10T16:54:43.53511188Z,155
2024-02-10T16:54:46.365909128Z,54
2024-02-10T16:55:00.539973971Z,155
2024-02-10T16:55:04.646345724Z,54
2024-02-10T16:55:10.195364928Z,155
2024-02-10T16:55:11.087850466Z,54
2024-02-10T16:55:15.505885234Z,155
2024-02-10T16:55:17.86622238Z,59
2024-02-10T16:55:20.398726008Z,61
2024-02-10T16:55:22.451759189Z,70
2024-02-10T16:55:24.601848402Z,73
2024-02-10T16:55:27.182527365Z,74
2024-02-10T16:55:29.565731043Z,75
2024-02-10T16:55:32.186418314Z,76
2024-02-10T16:55:34.467094286Z,77
2024-02-10T16:55:38.585721592Z,76
2024-02-10T16:55:42.965823262Z,75
2024-02-10T16:55:45.045139762Z,74
2024-02-10T16:55:54.10598375Z,73
2024-02-10T16:55:58.626084222Z,72
2024-02-10T16:56:03.235854279Z,71
2024-02-10T16:56:05.887363388Z,70
2024-02-10T16:56:12.64733593Z,69
2024-02-10T16:56:17.665496358Z,68
2024-02-10T16:56:20.225412534Z,67
2024-02-10T16:56:22.40542366Z,66
2024-02-10T16:56:24.646186455Z,65
2024-02-10T16:56:29.485937567Z,65
2024-02-10T16:56:31.48668822Z,64
2024-02-10T16:56:36.205925595Z,63
2024-02-10T16:56:42.445481445Z,62
2024-02-10T16:56:49.745731271Z,61
2024-02-10T16:56:56.285290078Z,60
2024-02-10T16:57:01.185161212Z,158
2024-02-10T16:57:02.565584171Z,60
2024-02-10T16:57:10.505055947Z,59
2024-02-10T16:57:26.405743758Z,58
2024-02-10T16:57:36.428364644Z,157
2024-02-10T16:57:38.576186107Z,58
2024-02-10T16:57:44.465713324Z,57
2024-02-10T16:58:02.525696598Z,56
2024-02-10T16:58:20.95268438Z,156
2024-02-10T16:58:27.047709882Z,56
2024-02-10T16:58:55.825845292Z,55
2024-02-10T16:59:32.646232869Z,56
2024-02-10T17:01:22.411707916Z,56
2024-02-10T17:02:01.268355682Z,56
2024-02-10T17:02:23.867240257Z,59
2024-02-10T17:02:25.826606946Z,60
2024-02-10T17:02:32.516603673Z,59
2024-02-10T17:02:40.206377012Z,58
2024-02-10T17:02:46.177010364Z,57
2024-02-10T17:02:53.537496216Z,61
2024-02-10T17:02:55.936768747Z,70
2024-02-10T17:02:57.956898807Z,76
2024-02-10T17:03:00.716748097Z,79
2024-02-10T17:03:03.146655651Z,80
2024-02-10T17:03:05.236901329Z,73
2024-02-10T17:03:07.372643496Z,66
2024-02-10T17:03:09.4327558Z,55
2024-02-10T17:03:11.431161801Z,47
2024-02-10T17:03:14.872484943Z,41
2024-02-10T17:03:16.65143199Z,34
2024-02-10T17:03:19.681261096Z,31
2024-02-10T17:03:21.512498994Z,142
2024-02-10T17:03:22.632347371Z,25
2024-02-10T17:03:26.835491909Z,21
2024-02-10T17:03:29.690819652Z,19
2024-02-10T17:03:31.652187548Z,17
2024-02-10T17:03:34.942847788Z,16
2024-02-10T17:03:37.172990271Z,14
2024-02-10T17:03:39.412202741Z,13
2024-02-10T17:03:43.933044837Z,12
2024-02-10T17:03:45.982323051Z,13
2024-02-10T17:03:50.352691221Z,146.8000030517578
2024-02-10T17:03:52.412260638Z,13
2024-02-10T17:04:05.472328477Z,14
2024-02-10T17:04:15.772696898Z,15
2024-02-10T17:04:28.932426449Z,16
2024-02-10T17:04:30.882681208Z,17
2024-02-10T17:04:39.208217198Z,18
2024-02-10T17:04:44.066423695Z,19
2024-02-10T17:04:48.317246681Z,21
2024-02-10T17:04:57.313660783Z,22
2024-02-10T17:05:01.144033303Z,23
2024-02-10T17:05:06.253484461Z,140
2024-02-10T17:05:08.334042741Z,25
2024-02-10T17:05:10.373818444Z,152.8000030517578
2024-02-10T17:05:12.41384349Z,26
2024-02-10T17:05:17.18274115Z,27
2024-02-10T17:05:19.573720022Z,28
2024-02-10T17:05:24.197590193Z,29
2024-02-10T17:05:32.993835921Z,30
2024-02-10T17:05:38.113173279Z,155.8000030517578
2024-02-10T17:05:42.297678907Z,31
2024-02-10T17:05:44.773867452Z,32
2024-02-10T17:05:51.933554137Z,33
2024-02-10T17:05:56.218171219Z,33
2024-02-10T17:06:00.742881906Z,34
2024-02-10T17:06:12.254586372Z,35
2024-02-10T17:06:19.304979473Z,36
2024-02-10T17:06:26.377658058Z,37
2024-02-10T17:06:35.313503138Z,38
2024-02-10T17:06:39.043290342Z,147
2024-02-10T17:06:41.533358603Z,38
2024-02-10T17:06:43.583978778Z,39
2024-02-10T17:06:50.068049952Z,40
2024-02-10T17:06:54.657638345Z,40
2024-02-10T17:07:03.613126706Z,41
2024-02-10T17:07:09.133727625Z,41
2024-02-10T17:07:11.094359173Z,149
2024-02-10T17:07:15.323337623Z,42
2024-02-10T17:07:21.397351223Z,43
2024-02-10T17:07:34.697420436Z,150
2024-02-10T17:07:37.753702354Z,44
2024-02-10T17:07:41.867894285Z,44
2024-02-10T17:07:46.937229851Z,44
2024-02-10T17:07:48.978512896Z,162.8000030517578
2024-02-10T17:07:53.058101773Z,45
2024-02-10T17:07:59.617929029Z,162.8000030517578
2024-02-10T17:08:01.57717774Z,45
2024-02-10T17:08:07.657341994Z,151
2024-02-10T17:08:09.738034841Z,46
2024-02-10T17:08:20.817930677Z,47
2024-02-10T17:08:27.477733669Z,47
2024-02-10T17:08:32.017105934Z,48
2024-02-10T17:08:33.888019506Z,152
2024-02-10T17:08:37.878368625Z,48
2024-02-10T17:08:40.00379753Z,152
