time,value
2024-02-14T17:50:22.231965534Z,"'"
2024-02-14T17:52:19.137232146Z,"'Temperature = 17.40  Humidity = 60.00  Air Quality = 169"
2024-02-14T17:52:20.912161193Z,"'Temperature = 17.40  Humidity = 60.00  Air Quality = 168"
2024-02-14T17:52:21.676971045Z,"'Temperature = 17.40  Humidity = 60.00  Air Quality = 169"
2024-02-14T17:52:22.437106218Z,"'Temperature = 17.40  Humidity = 60.00  Air Quality = 168"
2024-02-14T17:52:23.15727387Z,"'Temperature = 17.40  Humidity = 60.00  Air Quality = 169"
2024-02-14T17:52:23.867140099Z,"'Temperature = 17.40  Humidity = 60.00  Air Quality = 168"
2024-02-14T17:52:25.1773393Z,"'Temperature = 17.40  Humidity = 60.00  Air Quality = 166"
2024-02-14T17:52:25.877343382Z,"'Temperature = 17.40  Humidity = 60.00  Air Quality = 168"
2024-02-14T17:52:26.857261977Z,"'Temperature = 17.40  Humidity = 60.00  Air Quality = 166"
2024-02-14T17:52:28.637879889Z,"'Temperature = -8.80  Humidity = 158.00  Air Quality = 166"
2024-02-14T17:52:30.162102239Z,"'Temperature = -8.80  Humidity = 158.00  Air Quality = 165"
2024-02-14T17:52:30.847041274Z,"'Temperature = 17.40  Humidity = 60.00  Air Quality = 165"
2024-02-14T17:52:31.562144818Z,"'Temperature = 17.40  Humidity = 60.00  Air Quality = 166"
2024-02-14T17:52:32.252127314Z,"'Temperature = 17.40  Humidity = 60.00  Air Quality = 165"
2024-02-14T17:52:32.996820784Z,"'Temperature = 17.40  Humidity = 60.00  Air Quality = 166"
2024-02-14T17:52:33.69209861Z,"'Temperature = 17.40  Humidity = 60.00  Air Quality = 165"
2024-02-14T17:52:34.447440509Z,"'Temperature = 17.40  Humidity = 60.00  Air Quality = 163"
2024-02-14T17:52:37.96734736Z,"'Temperature = 17.40  Humidity = 60.00  Air Quality = 162"
2024-02-14T17:52:39.017333156Z,"'Temperature = 17.40  Humidity = 60.00  Air Quality = 163"
2024-02-14T17:52:39.60720009Z,"'Temperature = 17.40  Humidity = 60.00  Air Quality = 162"
